,banglaname,banglishnames
62,বড়মা,Boro Maa
63,ববি রিগস্‌,Bobby Riggs
64,বারট্রাম ব্রকহাউস,Bertram Brockhouse
65,ইংমার বারিমান,Ingmar Bergman
66,বিনায়ক আচার্য,Binayak Acharya
67,বেটি ফোর্ড,Betty Ford
68,অ্যালেক বেডসার,Alec Bedser
69,মহম্মদ আতাউল গণি ওসমানী,M. A. G. Osmani
70,মারিয়া মের্কাদের,María Mercader
71,মার্টিন রাইল,Martin Ryle
72,মৃণালিনী সারাভাই,Mrinalini Sarabhai
73,মেহতাব,Mehtab
74,মোহাম্মদ আবদুল হক,Mohammad Abdul Haque
75,আর্থার ম্যাকইনটায়ার,Arthur McIntyre
76,নেলসন ম্যান্ডেলা,Nelson Mandela
77,জেরোম রবিন্স,Jerome Robbins
78,ফ্রেডেরিক রাইনেস,Frederick Reines
79,রাম রাঘোবা রাণে,Rama Raghoba Rane
80,রামেশ্বর নাথ কাও,R. N. Kao
81,ডগ রিং,Doug Ring
82,রিচার্ড ফাইনম্যান,Richard Feynman
83,রিটা হেওয়ার্থ,Rita Hayworth
84,লক্ষ্মীনারায়ণ নায়ক,Laxminarayan Nayak
85,ইডা লুপিনো,Ida Lupino
86,শফিউর রহমান,Shafiur Rahman
87,শামসুল হক,Shamsul Huq
88,সুবোধ মুখার্জী,Subodh Mukherjee
89,রাঙ্গা সোহনী,Ranga Sohoni
90,কলিন স্নেডেন,Colin Snedden
91,মার্ভ হার্ভে,Merv Harvey
92,হুয়াঁউ বাতিস্তা দি ওলিভেইরা ফিগেইরেদু,João Figueiredo
93,হেলমুট স্মিত,Helmut Schmidt
94,উইলিয়াম হোল্ডেন,William Holden
95,তালিম হোসেন,Talim Hossain
96,নায়েন আবিদি,Nain Abidi
97,আইজাক আক,Aytaç Ak
98,আদনান আকমল,Adnan Akmal
99,ফায়াদ আলম,Fawad Alam
100,সাবা আনজুম করিম,Saba Anjum Karim
101,মার্কোস বাগদাতিস,Marcos Baghdatis
102,ক্যাথারিন ব্রুন্ট,Katherine Brunt
103,ডায়ানা ডেভিড,Diana David
104,বিজয় গুরুং,Bijaya Gurung
105,মরিয়ম হাসান,Mariam Hasan
106,সৌরভ রাজ জৈন,Saurabh Raj Jain
107,সানিয়া খান,Sania Khan
108,খালিদ লতিফ,Khalid Latif
109,ফার্নান্দো লরেন্ত,Fernando Llorente
110,ইবতিহাজ মুহাম্মাদ,Ibtihaj Muhammad
111,উরুজ মুমতাজ,Urooj Mumtaz
112,লুকাস পোডলস্কি,Lukas Podolski
113,মুমতাজ কাদরী,Mumtaz Qadri
114,রাজা-উর-রেহমান,Raza-ur-Rehman
115,শাপুর জাদরান,Shapoor Zadran
116,জুনায়েদ সিদ্দীকী,Junaid Siddiqui
117,রবার্তো সোলাদাদো,Roberto Soldado
118,মনোজ তিওয়ারি,Manoj Tiwary
119,রবিন উথাপ্পা,Robin Uthappa
120,অ্যান্টনিও ভ্যালেন্সিয়া,Antonio Valencia
121,ইয়ু অই,Yū Aoi
122,অখিল কাপুর,Akhil Kapur
123,অজন্তা মেন্ডিস,Ajantha Mendis
124,অভিষেক শর্মা,Abhishek Sharma
125,অর্জুন কাপুর,Arjun Kapoor
126,অসিন,Asin
127,অ্যান্টন ডেভসিচ,Anton Devcich
128,অ্যালিসন ক্যারল,Alison Carroll
129,অ্যালিস্টার ব্ল্যাক,Aleister Black
130,অ্যালেক্স ডুলান,Alex Doolan
131,অ্যাশলে ইয়াং,Ashley Young
132,আকিরা তোজাওয়া,Akira Tozawa
133,কাজল আগরওয়াল,Kajal Aggarwal
134,নাকাশ আজিজ,Nakash Aziz
135,মাসুদ আজিজি,Masoud Azizi
136,আদিত্য রয় কাপুর,Aditya Roy Kapur
137,আদিল রামি,Adil Rami
138,আদোলফো মাচাদো,Adolfo Machado
139,আনিতা ওদারজিক,Anita Włodarczyk
140,আন্না উশেনিনা,Anna Ushenina
141,আফতাব আহমেদ,Aftab Ahmed
142,আবদুল্লাহ আল মামুন,Abdullah Al Mamun
143,আব্দাল্লাহ সাঈদ,Abdallah El Said
144,আম্বতি রায়ডু,Ambati Rayudu
145,আরতি সিং,Arti Singh
146,আলি আসফাক,Ali Ashfaq
147,আজহার আলী,Azhar Ali
148,খাওয়ার আলী,Khawar Ali
149,আসামী আবে,Asami Abe
150,নাফিস ইকবাল,Nafees Iqbal
151,কলিন ইনগ্রাম,Colin Ingram
152,ইমতিয়াজ হোসেন,Imtiaz Hossain
153,ইয়াকুব বুয়াশ্চেকভোসস্কি,Jakub Błaszczykowski
154,ইয়ান ওয়ার্ডল,Iain Wardlaw
155,ঈসা গুহ,Isa Guha
156,উকাশ পিশ্চেক,Łukasz Piszczek
157,উনি করোথ,Unni Koroth
158,আয়া উয়েটো,Aya Ueto
159,এজেকিয়েল লাভেজ্জি,Ezequiel Lavezzi
160,এনামুল শরীফ,Anamul Haque Sharif
161,এনামুল হক,Enamul Haque
162,এমোরি লিওন শাফি,Emory Leon Chaffee
163,এলিয়ানর ক্যাটন,Eleanor Catton
164,এশা গুপ্তা,Esha Gupta
165,এ্যাশলাইন ব্রুক,Ashlynn Brooke
166,ঐন্দ্রিতা রায়,Aindrita Ray
167,ঐশ্বর্যা সখুজা,Aishwarya Sakhuja
168,ওউকাশ ফ্যাবিয়ানস্কি,Łukasz Fabiański
169,গিয়ের্মো ওচোয়া,Guillermo Ochoa
170,ওজস্বী অরোরা,Ojaswi Aroraa
171,ওমর হাউসাউই,Omar Hawsawi
172,নিউফেল ওয়াতা,Newfel Ouatah
173,ওয়াহাব রিয়াজ,Wahab Riaz
174,কবিতা রাউত,Kavita Tungar
175,কবিতা রাধেশ্যাম,Kavita Radheshyam
176,করীম এল আহমাদি,Karim El Ahmadi
177,কাদির আহমেদ,Qadeer Ahmed
178,কায়ডেন ক্রস,Kayden Kross
179,কার্ট হকিন্স,Curt Hawkins
180,বিশাল কৃষ্ণ,Vishal
181,কেদার যাদব,Kedar Jadhav
182,অ্যানা কেন্ড্রিক,Anna Kendrick
183,ক্রিস ইগলস,Chris Eagles
184,ক্রিস্টোফার এমপফু,Christopher Mpofu
185,ক্রেগ আরভিন,Craig Ervine
186,ক্লাউডিয়া কিম,Claudia Kim
187,গাল গাদোত,Gal Gadot
188,গুরমীত সিং,Gurmeet Singh
189,গ্যারি কেহিল,Gary Cahill
190,চাদউইক ওয়ালটন,Chadwick Walton
191,নাসিরউদ্দিন চৌধুরী,Nasiruddin Chowdhury
192,জন নিয়ুম্বু,John Nyumbu
193,জন হেস্টিংস,John Hastings
194,আতার জারগুলেইন,Antar Zerguelaïne
195,ফৌজিয়া হুদা জুঁই,Foujia Huda
196,জেনিফার উইঙ্গেট,Jennifer Winget
197,জেসাস নাভাস,Jesús Navas
198,জ্যাক রাইডার,Zack Ryder
199,জ্যাকুলিন ফার্নান্দেজ,Jacqueline Fernandez
200,টমাস ভের্মালেন,Thomas Vermaelen
201,টয়ান্ডা মুপারিয়া,Tawanda Mupariwa
202,মোনালি ঠাকুর,Monali Thakur
203,ডং ফ্যাংঝুও,Dong Fangzhuo
204,ডায়না পেন্টি,Diana Penty
205,ডিন অ্যামব্রোজ,Jon Moxley
206,ডেন ভিলাস,Dane Vilas
207,ডেভিড উইসে,David Wiese
208,ড্যানি ভুকোভিচ,Danny Vukovic
209,ড্যানিয়েল কলিন্দ্রেস,Daniel Colindres
210,তারিফ আহমেদ,Tarif Ahmed
211,তালহা জুবায়ের,Talha Jubair
212,তালিন রহমান,Talyn Rahman-Figueroa
213,তাহমিনা কবীর,Thamina Kabir
214,তিনাশি প্যানিয়াঙ্গারা,Tinashe Panyangara
215,শ্বেতা ত্রিপাঠি,Shweta Tripathi
216,উপুল থারাঙ্গা,Upul Tharanga
217,দি উসোস,The Usos
218,দিনেশ কার্তিক,Dinesh Karthik
219,দিনেশ রামদিন,Denesh Ramdin
220,লাসানা দিয়ারা,Lassana Diarra
221,দুলসে মারিয়া,Dulce María
222,দেবেন্দ্র বিশু,Devendra Bishoo
223,দ্রষ্টি ধামি,Drashti Dhami
224,নওশীন নেহরিন মৌ,Nawsheen Nahreen Mou
225,কিয়ারা নাইটলি,Keira Knightley
226,নাজিমউদ্দিন,Nazimuddin
227,নাদিয়া গোলাম,Nadia Ghulam
228,নিবেদিতা তিওয়ারী,Nivedita Tiwari
229,নুসরত ভরুচা,Nushrat Bharucha
230,পঙ্কজ আদবানি,Pankaj Advani
231,পাবলো জাবালেতা,Pablo Zabaleta
232,পাবলো পেরেজ,Pablo Pérez
233,দেউই পার্সিক,Dewi Persik
234,পিটার নেভিল,Peter Nevill
235,পেদ্রো জেরোমেল,Pedro Geromel
236,প্রসপার উতসেয়া,Prosper Utseya
237,র‌্যাচেল প্রিস্ট,Rachel Priest
238,শ্যানেল প্রেস্টন,Chanel Preston
239,ওয়ালী ফয়সাল,Wali Faisal
240,ফারিস উদেহ,Faris Odeh
241,ফার্নান্দো লুইজ রোজা,Fernandinho
242,ফিল বার্ডসলে,Phil Bardsley
243,ফিলিপে লুইস,Filipe Luís
244,ভার্নন ফিল্যান্ডার,Vernon Philander
245,বড়লক্ষ্মী শরৎকুমার,Varalaxmi Sarathkumar
246,বানি মেয়ের,Bunny Meyer
247,বিজে ওয়াটলিং,BJ Watling
248,বিজেন্দর সিং,Vijender Singh
249,সেসিলিয়া বিয়াজিওলি,Cecilia Biagioli
250,বোম্বাইলা দেবী লাইশ্রাম,Bombayla Devi Laishram
251,টিম ব্রেসনান,Tim Bresnan
252,ভেগা টামোটিয়া,Vega Tamotia
253,লুকা মদরিচ,Luka Modrić
254,মনির হোসেন,Monir Hossain
255,মনীষা গুল্যানি,Manisha Gulyani
256,মনোরঞ্জন রায়,Manoranjan Roy
257,জাকিয়া বারী মম,Zakia Bari Momo
258,মহতী,Mahathi
259,মাইক ব্যানেট,Mike Kanellis
260,মাইকেল ফেলপস,Michael Phelps
261,মারিও গোমেজ,Mario Gómez
262,সানা মারিন,Sanna Marin
263,মার্ক ফুটিট,Mark Footitt
264,মার্ক মিলিগান,Mark Milligan
265,ব্রুনো মার্স,Bruno Mars
266,মিনীষা লাম্বা,Minissha Lamba
267,তথাগত মুখোপাধ্যায়,Tathagata Mukherjee
268,মুমাইত খান,Mumaith Khan
269,কেরি মুলিগান,Carey Mulligan
270,মুসলিম মোবারক,Muslim Mubarak
271,মুহাম্মদ কালিম,Muhammad Kaleem
272,মুহাম্মদ বিন সালমান,Mohammed bin Salman
273,রুনি মেয়ারা,Rooney Mara
274,মেরিজা অ্যাগুইলেরা,Merissa Aguilleira
275,মোহাম্মদ ফরিদউদ্দিন,Mohammad Fariduddin
276,মোহাম্মদ শরীফ,Mohammad Sharif
277,মোহাম্মদ আবদেল শাফি,Mohamed Abdel Shafy
278,মোহাম্মাদ নবী,Mohammad Nabi
279,ড্রু ম্যাকইন্টায়ার,Drew McIntyre
280,ম্যাক্স সোরেনসেন,Max Sorensen
281,যশ দাশগুপ্ত,Yash Dasgupta
282,রণবীর সিং,Ranveer Singh
283,রবি বোপারা,Ravi Bopara
284,রশ্মি বনশল,Rashmi Bansal
285,রসিকা দুগল,Rasika Dugal
286,লুক রাইট,Luke Wright
287,রাধিকা আপ্টে,Radhika Apte
288,রাম চরণ,Ram Charan
289,মৌনী রায়,Mouni Roy
290,ওয়েইন রুনি,Wayne Rooney
291,বাসুদেব আচার্য,Basudeb Acharia
292,তাসুকু হনজো,Tasuku Honjo
293,অণু আগা,Anu Aga
294,অনিতা বসু পাফ,Anita Bose Pfaff
295,অমিতাভ বচ্চন,Amitabh Bachchan
296,অশোক ঘোষ,Ashok Ghosh
297,অ্যালবার্ট এক্কা,Albert Ekka
298,অ্যালেক্স স্টেপনি,Alex Stepney
299,আজমীর সিং অউলখ,Ajmer Singh Aulakh
300,রফিক আজাদ,Rafiq Azad
301,আজিজ মিয়া,Aziz Mian
302,আবদুল মান্নান,Abdul Mannan
303,আবিব সারাজুদ্দিন,Abib Sarajuddin
304,আবু তাহের মোহাম্মদ হায়দার,Abu Taher Mohammad Haider
305,আবুল আসাদ,Abul Asad
306,আব্দুর রাজ্জাক,Abdur Razzaq
307,আব্দুল মাজিদ আল-জিনদানি,Abdul Majeed al-Zindani
308,আব্দুলাজিজ সাচেদিনা,Abdulaziz Sachedina
309,আব্দুল্লাহ আল মামুন,Abdullah al Mamun
310,আমানুল্লাহ মোহাম্মদ আসাদুজ্জামান,Amanullah Asaduzzaman
311,আমির তাহেরি,Amir Taheri
312,আমিরুল ইসলাম চৌধুরী,Amirul Islam Chowdhury
313,আশা পারেখ,Asha Parekh
314,আসিফ নুরানী,Asif Noorani
315,ইউসেবিও,Eusébio
316,ইজ্জাত ইব্রাহিম আদ-দাউরি,Izzat Ibrahim al-Douri
317,ইমরান নযর হোসেন,Imran N. Hosein
318,ইসমত আরা সাদেক,Ismat Ara Sadique
319,ব্যারি উড,Barry Wood
320,উমা শর্মা,Uma Sharma
321,এ এন এম গোলাম মোস্তফা,ANM Golam Mostafa
322,রস এডওয়ার্ডস,Ross Edwards
323,এম এ ওয়াজেদ মিয়া,M. A. Wazed Miah
324,এম. এম. রুহুল আমিন,M. M. Ruhul Amin
325,এস আই এম নূরুন্নবী খান,S I M Nurunnabi Khan
326,এস কে আবু বাকের,SK Abu Bakr
327,করুণাময় গোস্বামী,Karunamaya Goswami
328,কাজী আরেফ আহমেদ,Kazi Aref Ahmed
329,শহীদ কাদরী,Shahid Qadri
330,হেমন্ত কানিদকর,Hemant Kanitkar
331,কিম জং ইল,Kim Jong-il
332,আলমগীর কুমকুম,Alamgir Kumkum
333,ক্যারেন উলেনবেক,Karen Uhlenbeck
334,ক্লার্ক কিম্বার্লিং,Clark Kimberling
335,খন্দকার মোশাররফ হোসেন,Khandaker Mosharraf Hossain
336,গায়ত্রী চক্রবর্তী স্পিভাক,Gayatri Chakravorty Spivak
337,নিপন গোস্বামী,Nipon Goswami
338,মতিয়া চৌধুরী,Matia Chowdhury
339,জগন্নাথ রৌত,Jagannath Rout
340,জন সুলস্টন,John Sulston
341,জস্‌ এডোয়াদো ডোস সান্তোস্‌,José Eduardo dos Santos
342,জহর দাশগুপ্ত,Jahar Dasgupta
343,জাক দ্যুবোশে,Jacques Dubochet
344,জানকার্লো জাননিনি,Giancarlo Giannini
345,জামিলুর রেজা চৌধুরী,Jamilur Reza Choudhury
346,জিতেন্দ্র,Jeetendra
347,জুনিচিরো কোইযুমি,Junichiro Koizumi
348,জুবাইদা গুলশান আরা,Zubaida Gulshan Ara
349,জো বাইডেন,Joe Biden
350,জ্যাকব জুমা,Jacob Zuma
351,জ্যাকুয়েস রগ,Jacques Rogge
352,টনি লুইস,Tony Lewis
353,রিটা টুশিংহাম,Rita Tushingham
354,রবার্ট কার ডাইনস,Robert C. Dynes
355,সোমাচন্দ্র ডি সিলভা,Somachandra de Silva
356,ডেভিড গ্রিফিথস,David J. Griffiths
357,আন্তোনিও থিসনেরস,Antonio Cisneros
358,জ্যাকি দু প্রিজ,Jackie du Preez
359,নাজমা চৌধুরী,Najma Chowdhury
360,নাজমুল হুদা মিন্টু,Nazmul Huda Mintu
361,নাসির উদ্দিন জিহাদী,Nasir Uddin
362,নিসার মেমন,Nisar Memon
363,নুরুল আমিন খান পাঠান,Nurul Amin Khan Pathan
364,পল ম্যাককার্টনি,Paul McCartney
365,পল সাইমন,Paul Simon
366,রয় পালমার,Roy Palmer
367,পি ভারতীরাজা,P. Bharathiraja
368,পূরবী দত্ত,Purabi Dutta
369,পিটার পেথেরিক,Peter Petherick
370,প্রভা খেতান,Prabha Khaitan
371,ফিলিপ গঞ্জালেজ,Felipe González
372,হ্যারিসন ফোর্ড,Harrison Ford
373,ফৌজিয়া ইয়াসমিন,Fauzia Yasmin
374,রয় ফ্রেডেরিক্স,Roy Fredericks
375,বরুণ মজুমদার,Barun Mazumder
376,আলী বাখের,Ali Bacher
377,বারবারা স্ট্রাইস্যান্ড,Barbra Streisand
378,আঞ্জুমান আরা বেগম,Anjuman Ara Begum
379,ডেভিড ব্রাউন,David J. Brown
380,মাইক ব্রিয়ারলি,Mike Brearley
381,ভাস্কর গুপ্তা,Bhaskar Gupta
382,কেরামত মওলা,Keramat Moula
383,মতিউর রহমান,Motiur Rahman
384,মহিউদ্দীন খান আলমগীর,Muhiuddin Khan Alamgir
385,মাইক নিউয়েল,Mike Newell
386,মাইকেল কস্টারলিৎজ,J. Michael Kosterlitz
387,মাইকেল ব্লুমবার্গ,Michael Bloomberg
388,মাধবী পারেখ,Madhvi Parekh
389,মাধবী মুখোপাধ্যায়,Madhabi Mukherjee
390,মার্গারেট কোর্ট,Margaret Court
391,মাহবুব তালুকদার,Mahbub Talukdar
392,মিশেল মাইয়র,Michel Mayor
393,প্রতুল মুখোপাধ্যায়,Pratul Mukhopadhyay
394,মুয়াম্মর গাদ্দাফি,Muammar Gaddafi
395,মুহাম্মদ আলী,Muhammad Ali
396,মুহাম্মাদু বাহারি,Muhammadu Buhari
397,মেহেরুন নেসা,Meherun Nesa
398,মোস্তফা ফারুক মোহাম্মদ,Mostafa Faruk Mohammad
399,মোহম্মদ আব্দুল জলিল,Mohammad Abdul Jalil
400,মোহাম্মদ ছায়েদুল হক,Mohammad Sayedul Haque
401,মোহাম্মদ মৌসভী খোইনিহা,Mohammad Mousavi Khoeiniha
402,মোহাম্মদ সাদত আলী,Mohammad Sadat Ali
403,মোহাম্মেদ এল বারাদেই,Mohamed ElBaradei
404,রজার ইবার্ট,Roger Ebert
405,রাজেশ খান্না,Rajesh Khanna
406,রাজ্জাক,Abdur Razzak
407,রিংকি ভট্টাচার্য্য,Rinki Bhattacharya
408,রেজাউল করিম হীরা,Rezaul Karim Hira
409,ডেভিড রেনেবার্গ,David Renneberg
410,লিওন রাসেল,Leon Russell
411,ক্যারল লিনলি,Carol Lynley
412,শচীন্দ্রচন্দ্র পাল,Sachindra Chandra Pal
413,শ্যামলী নাসরিন চৌধুরী,Shyamoli Nasrin Chowdhury
414,সন্তোষ রানা,Santosh Rana
415,সিকদার আমিনুল হক,Sikdar Aminul Haq
416,সৈয়দ মঞ্জুর এলাহী,Syed Manzur Elahi
417,সোনম ওয়াঙ্গিয়াল,Sonam Wangyal
418,মার্টিন স্কোরসেজি,Martin Scorsese
419,স্টানলি বি প্রুসিনার,Stanley B. Prusiner
420,মাইকেল জে. স্মিথ,Michael J. Smith
421,স্যাম্ পিট্রডা,Sam Pitroda
422,বশিরুল হক,Bashirul Haq
423,স্টিভেন হকিং,Stephen Hawking
424,রবিন হবস,Robin Hobbs
425,বব হস্কিন্স,Bob Hoskins
426,হাওয়ার্ড জ্যাকবসন,Howard Jacobson
427,রিচার্ড হাটন,Richard Hutton
428,পেটার হান্ড‌কে,Peter Handke
429,হাবিবুর রহমান মোল্লা,Habibur Rahman Mollah
430,মোস্তফা জামাল হায়দার,Mostafa Jamal Haider
431,হায়াৎ সাইফ,Hayat Saif
432,হায়েদেহ,Hayedeh
433,হু জিনতাও,Hu Jintao
434,ভের্নার হের্ৎসগ,Werner Herzog
435,আমজাদ হোসেন,Amjad Hossain
436,আছিয়া আন্দ্রাবী,Asiya Andrabi
437,সুমাইরা মালিক,Sumaira Malik
438,এস. শঙ্কর,S. Shankar
439,ইকবাল থেবা,Iqbal Theba
440,আরতি অঙ্কলিকর-টিকেকর,Arati Ankalikar-Tikekar
441,অনাদিশ পাল,Anadish Pal
442,অনিকেত চট্টোপাধ্যায়,Aniket Chattopadhyay
443,অনিল দলপত,Anil Dalpat
444,অন্তরা দেব সেন,Antara Dev Sen
445,আওয়াদেয়া মাহমুদ,Awadeya Mahmoud
446,হ্যাপী আখন্দ,Happy Akhand
447,মোহাম্মদ আজহারউদ্দীন,Mohammad Azharuddin
448,আদিল হুসেইন,Adil Hussain
449,আবু জাফর,Abu Zafar
450,আবু জাহির,Md. Abu Zahir
451,আমির মোকাম,Amir Muqam
452,আসিফ করিম,Aasif Karim
453,আলেহান্দ্রো গোন্সালেস ইনারিতু,Alejandro González Iñárritu
454,ইয়ান মার্টেল,Yann Martel
455,সাতোকো ইয়ামানো,Satoko Yamano
456,ইসমাইল হানিয়া,Ismail Haniyeh
457,উম্মে কুলসুম স্মৃতি,Umme Kulsum Smrity
458,ঋতুপর্ণ ঘোষ,Rituparno Ghosh
459,এমিলিও বুত্রাগেনিয়ো,Emilio Butragueño
460,এস. এম. জগলুল হায়দার,S. M. Jaglul Hayder
461,এহসান নুরানী,Ehsaan Noorani
462,ট্যাটুম ওনিল,Tatum O\Neal
463,আনা মারিয়া করাজা বিল্ডট,Anna Maria Corazza Bildt
464,রিমা আল-কাদিরী,Rima al-Qadiri
465,কার্টলি অ্যামব্রোস,Curtly Ambrose
466,কুজেন্দ্র লাল ত্রিপুরা,Kujendra Lal Tripura
467,কেভিন মিটনিক,Kevin Mitnick
468,ক্যাথরিন মাসুদ,Catherine Masud
469,খরাজ মুখোপাধ্যায়,Kharaj Mukherjee
470,গার্গী ব্যানার্জি,Gargi Banerji
471,গার্থ ম্যাক্সওয়েল,Garth Maxwell
472,গোবিন্দ,Govinda
473,গোবিন্দ চন্দ্র ঠাকুর,Gobinda Chandra Tagore
474,গ্যারি কাসপারভ,Garry Kasparov
475,কনক চাঁপা চাকমা,Kanak Chanpa Chakma
476,কে. এস. চিত্রা,K. S. Chithra
477,সোহেল চৌধুরী,Sohel Chowdhury
478,জন অ্যাল্টোবেলি,John Altobelli
479,জর্জ মাইকেল,George Michael
480,জাহাঙ্গীর খান,Jahangir Khan
481,জেমস হেটফিল্ড,James Hetfield
482,জোসে মরিনহো,José Mourinho
483,টনি ডোডেমাইড,Tony Dodemaide
484,টিমোথি গাওয়ার্স,Timothy Gowers
485,টেসা থম্পসন,Tessa Thompson
486,টেসি থমাস,Tessy Thomas
487,কোয়েন্টিন টারান্টিনো,Quentin Tarantino
488,ডনি ইয়েন,Donnie Yen
489,জনি ডেপ,Johnny Depp
490,ডেভ ক্যান্টারবারি,Dave Canterbury
491,ডেভিড ক্যাপেল,David Capel
492,ডেভিড মইজ,David Moyes
493,ডেভিড সিম্যান,David Seaman
494,ড্যানিয়েল পার্ল,Daniel Pearl
495,ড্যানিয়েল মোজন,Daniel Mojon
496,তরুণ তেজপাল,Tarun Tejpal
497,তানিকা গুপ্তা,Tanika Gupta
498,বিশাল দাদলানি,Vishal Dadlani
499,দুঙ্গা,Dunga
500,সুনিলা দেবী,Sunila Devi
501,নবজ্যোত সিং সিধু,Navjot Singh Sidhu
502,নাসরিন সোলতানখাহ,Nasrin Soltankhah
503,নীরজা ভনোট,Neerja Bhanot
504,নীল ফেয়ারব্রাদার,Neil Fairbrother
505,রত্না পাঠক,Ratna Pathak
506,ফারাহনায পাহলভি,Farahnaz Pahlavi
507,পিটার স্মাইকেল,Peter Schmeichel
508,পুষ্পেন্দ্র কুমার গর্গ,Pushpendra Kumar Garg
509,প্রেমলতা আগরওয়াল,Premlata Agarwal
510,ফরিদা ইয়াসমিন,Farida Yasmin
511,ফুলন দেবী,Phoolan Devi
512,বদিউল আলম খোকন,Badiul Alam Khokon
513,বি. সন্ধ্যা,B. Sandhya
514,দেমিয়ান বিচির,Demián Bichir
515,বিলি বাউডেন,Billy Bowden
516,কুমার বিশ্বজিৎ,Kumar Bishwajit
517,রব বেইলি,Rob Bailey
518,বেদব্রত পাইন,Bedabrata Pain
519,বেনজীর আহমেদ,Benazir Ahmed
520,বোরুট পাহর,Borut Pahor
521,এডো ব্রান্ডেস,Eddo Brandes
522,ব্রায়ান ম্যাকক্লেয়ার,Brian McClair
523,ব্রায়ান ম্যাকমিলান,Brian McMillan
524,ব্র্যাড পিট,Brad Pitt
525,শিশির ভট্টাচার্য্য,Shishir Bhattacharja
526,ভিক্টর অরবান,Viktor Orbán
527,মনজুর এলাহী,Manzoor Elahi
528,মনোজ প্রভাকর,Manoj Prabhakar
529,মন্টুরাম পাখিরা,Manturam Pakhira
530,মমতাজ বেগম,Momotaj Begum
531,হিউ মরিস,Hugh Morris
532,মহসিন কামাল,Mohsin Kamal
533,মাইক পম্পে,Mike Pompeo
534,মাইক ভেলেটা,Mike Veletta
535,মাইক মায়ার্স্‌,Mike Myers
536,মাইকেল জর্ডান,Michael Jordan
